caseid,age,parents_divorced,parents_separated,ever_married,intention_to_marry,num_marriages,separate_or_divorce
405,80,NA,NA,Yes,"No, Definitely not",1,1
406,49,NA,NA,Yes,"NA",3,2
407,57,NA,NA,No,Unsure,0,2
408,50,20,16,No,"NA",0,0
409,67,NA,NA,Yes,"NA",1,0
410,76,NA,NA,Yes,"NA",1,0
411,57,NA,NA,No,"NA",0,1
412,77,NA,NA,Yes,"NA",1,0
413,61,NA,NA,Yes,"NA",1,1
414,72,NA,NA,Yes,"NA",1,0
415,37,NA,NA,No,Probably Not,0,3
416,80,NA,NA,Yes,"No, Definitely not",1,0
417,51,NA,NA,No,"NA",0,0
418,68,NA,NA,Yes,"NA",1,0
419,67,25,20,Yes,"NA",1,0
420,28,5,3,No,"NA",0,1
421,26,NA,NA,No,Definitely Yes,0,0
422,60,NA,28,Yes,"NA",1,0
423,31,NA,NA,No,"NA",0,1
424,46,NA,11,Yes,"NA",1,0
425,36,NA,NA,Yes,"NA",1,0
426,51,NA,NA,Yes,"NA",1,0
427,57,NA,NA,Yes,Probably Not,1,1
428,43,NA,NA,Yes,"NA",1,1
429,19,NA,NA,No,"NA",0,0
430,51,23,17,No,Unsure,0,3
431,48,NA,NA,No,"NA",0,0
432,55,NA,NA,No,Probably Not,0,0
433,63,NA,NA,Yes,"NA",1,0
434,31,NA,NA,Yes,"NA",1,0
435,43,NA,NA,No,"NA",0,0
436,57,NA,NA,Yes,Probably Yes,1,1
437,68,NA,NA,Yes,"NA",1,0
438,76,NA,NA,Yes,"No, Definitely not",3,3
439,20,NA,NA,No,Definitely Yes,0,0
440,56,NA,NA,Yes,"NA",2,2
441,44,NA,NA,Yes,"NA",1,0
442,36,NA,1,Yes,"NA",2,1
443,41,NA,24,No,Probably Not,0,2
444,68,NA,NA,Yes,"NA",1,0
445,28,5,5,No,"NA",0,1
446,40,29,28,No,Probably Not,0,1
447,64,NA,NA,Yes,"NA",1,0
448,51,NA,NA,No,"NA",0,1
449,75,NA,NA,Yes,"NA",2,1
450,80,NA,NA,Yes,Probably Not,2,0
451,28,NA,NA,No,Probably Yes,0,0
452,59,NA,6,Yes,"NA",1,2
453,51,NA,25,Yes,"NA",1,0
454,80,NA,NA,Yes,"No, Definitely not",1,0
455,80,NA,NA,Yes,"NA",1,0
456,48,NA,31,Yes,"NA",1,0
457,52,10,10,No,"No, Definitely not",0,0
458,53,NA,NA,Yes,"NA",2,2
459,58,NA,NA,No,"No, Definitely not",0,0
460,35,NA,NA,Yes,"NA",1,0
461,37,NA,NA,Yes,"NA",1,1
462,69,NA,NA,Yes,"NA",1,0
463,58,NA,NA,Yes,"NA",1,0
464,19,NA,NA,No,"NA",0,0
465,57,NA,NA,Yes,"NA",1,0
466,59,NA,NA,No,"NA",0,0
467,80,NA,NA,Yes,"No, Definitely not",2,2
468,78,NA,NA,Yes,"No, Definitely not",1,0
469,58,NA,NA,Yes,"NA",2,1
470,59,NA,NA,No,Probably Not,0,0
471,57,24,23,Yes,"NA",1,0
472,18,NA,NA,No,"NA",0,0
473,62,NA,NA,Yes,"NA",1,2
474,18,NA,NA,No,"NA",0,0
475,53,NA,NA,Yes,"NA",2,1
476,80,NA,NA,No,"No, Definitely not",0,0
477,65,NA,NA,Yes,"NA",1,0
478,54,NA,NA,No,"No, Definitely not",0,1
479,41,NA,15,No,"NA",0,1
480,29,NA,NA,Yes,"NA",1,0
481,42,NA,NA,Yes,"NA",2,1
482,38,NA,NA,No,"NA",0,0
483,43,NA,NA,Yes,"NA",1,0
484,75,NA,NA,Yes,"NA",2,0
485,37,NA,NA,Yes,"NA",1,0
486,67,NA,NA,Yes,"NA",1,0
487,63,NA,NA,Yes,"NA",1,0
488,24,NA,NA,No,Probably Yes,0,0
489,74,NA,NA,Yes,"No, Definitely not",2,0
490,66,NA,NA,Yes,"No, Definitely not",1,1
491,67,NA,NA,Yes,"NA",1,0
492,60,2,NA,Yes,"NA",2,1
493,43,NA,NA,Yes,"NA",1,0
494,54,NA,NA,Yes,"No, Definitely not",1,3
495,35,NA,NA,No,"NA",0,0
496,58,NA,NA,No,"No, Definitely not",0,0
497,80,NA,NA,Yes,"No, Definitely not",1,0
498,52,33,32,No,Probably Not,0,1
499,54,NA,NA,Yes,"NA",1,0
500,74,NA,NA,Yes,"NA",1,0
501,22,NA,NA,No,Probably Not,0,0
502,45,NA,NA,Yes,"NA",1,0
503,31,NA,NA,Yes,"NA",1,0
504,40,NA,NA,Yes,"NA",1,0
505,22,NA,4,No,Probably Not,0,1
506,64,2,2,Yes,Unsure,2,2
507,48,NA,NA,Yes,"NA",1,1
508,43,NA,NA,Yes,"NA",1,0
509,30,NA,NA,No,Probably Not,0,1
510,36,NA,NA,No,"NA",0,0
511,62,NA,NA,Yes,Don't know,1,0
512,68,NA,NA,Yes,"No, Definitely not",1,2
513,69,NA,NA,Yes,Probably Not,1,2
514,54,9,5,Yes,"NA",1,1
515,46,NA,NA,Yes,"NA",1,1
516,65,NA,NA,Yes,"NA",1,0
517,80,12,6,Yes,"No, Definitely not",1,0
518,56,NA,NA,Yes,"NA",1,0
519,33,NA,NA,Yes,"NA",1,0
520,15,NA,11,No,"NA",0,0
521,37,NA,NA,Yes,"NA",1,0
522,51,29,21,Yes,"NA",1,1
523,39,NA,NA,No,"NA",0,0
524,70,NA,NA,Yes,"No, Definitely not",1,0
525,48,NA,NA,Yes,"NA",1,1
526,75,NA,NA,Yes,Probably Not,1,0
527,22,NA,NA,No,"NA",0,0
528,60,NA,NA,Yes,"NA",1,0
529,62,NA,NA,Yes,"NA",2,1
530,54,NA,NA,Yes,"NA",1,1
531,19,NA,NA,No,"NA",0,0
532,76,NA,NA,Yes,"NA",1,0
533,66,24,21,Yes,"NA",1,0
534,59,NA,NA,No,"NA",0,0
535,78,NA,NA,Yes,"No, Definitely not",1,0
536,32,NA,NA,No,"NA",0,0
537,70,NA,NA,Yes,"NA",1,0
538,43,NA,NA,Yes,Probably Yes,1,1
539,71,NA,NA,Yes,"No, Definitely not",1,1
540,56,NA,NA,No,"No, Definitely not",0,0
541,70,35,30,No,Unsure,0,0
542,62,NA,NA,Yes,"NA",2,1
543,21,NA,18,No,Definitely Yes,0,1
544,58,NA,NA,Yes,"NA",3,2
545,61,NA,NA,Yes,"NA",1,0
546,66,NA,NA,Yes,"NA",1,0
547,36,NA,NA,Yes,"NA",1,1
548,37,24,23,Yes,"NA",1,2
549,30,NA,NA,No,Probably Yes,0,0
550,33,NA,21,Yes,"NA",1,1
551,68,NA,NA,Yes,"NA",1,0
552,60,NA,NA,Yes,"NA",1,0
553,34,NA,NA,Yes,"NA",1,0
554,59,22,9,Yes,"NA",1,0
555,49,NA,NA,Yes,"NA",1,0
556,40,5,3,Yes,"NA",1,1
557,58,NA,NA,Yes,"NA",1,1
558,78,NA,NA,Yes,"NA",2,1
559,64,NA,14,Yes,"No, Definitely not",1,1
560,59,NA,6,Yes,"NA",1,0
561,67,NA,NA,Yes,"NA",1,2
562,17,NA,NA,No,"NA",0,0
563,49,NA,NA,Yes,"NA",1,0
564,36,9,8,No,Probably Not,0,1
565,56,NA,NA,Yes,"NA",2,4
566,22,NA,NA,No,"NA",0,0
567,70,NA,NA,Yes,"NA",3,2
568,16,9,9,No,"NA",0,0
569,44,NA,6,No,Probably Not,0,3
570,48,13,8,No,"NA",0,2
571,79,NA,NA,Yes,"No, Definitely not",1,0
572,35,NA,NA,No,"NA",0,0
573,33,NA,NA,Yes,"NA",1,0
574,27,NA,NA,No,"NA",0,0
575,59,NA,NA,Yes,"NA",1,0
576,34,NA,NA,Yes,"NA",1,0
577,58,NA,NA,Yes,"NA",1,2
578,67,NA,NA,Yes,"NA",1,0
579,72,NA,NA,Yes,"No, Definitely not",1,0
580,80,NA,NA,Yes,Probably Not,1,0
581,60,NA,NA,Yes,"NA",2,1
582,49,NA,NA,Yes,"NA",1,0
583,63,NA,NA,Yes,"NA",1,0
584,80,NA,NA,Yes,"NA",1,0
585,45,NA,NA,Yes,"NA",1,0
586,70,NA,NA,Yes,"NA",2,1
587,29,NA,NA,No,"NA",0,0
588,39,NA,NA,Yes,"NA",1,0
589,66,NA,NA,Yes,"NA",1,0
590,50,NA,NA,Yes,"NA",2,3
591,52,NA,NA,Yes,"NA",1,0
592,30,NA,NA,Yes,"NA",1,1
593,42,15,10,No,"NA",0,1
594,77,NA,NA,Yes,"NA",1,0
595,80,NA,NA,Yes,"No, Definitely not",1,1
596,39,6,6,No,"NA",0,3
597,39,NA,2,No,Unsure,0,0
598,80,NA,NA,No,"NA",0,0
599,75,NA,NA,Yes,"NA",1,0
600,80,NA,NA,Yes,"No, Definitely not",1,1
601,30,NA,NA,Yes,"NA",1,1
602,32,NA,NA,Yes,"NA",1,0
603,43,NA,NA,Yes,"NA",1,0
604,33,NA,8,No,"No, Definitely not",0,2
605,24,NA,4,No,Probably Not,0,0
606,80,NA,NA,Yes,"NA",2,1
607,73,NA,NA,Yes,"NA",1,0
608,74,NA,NA,Yes,"No, Definitely not",1,0
609,31,NA,NA,Yes,"NA",1,0
610,24,6,5,No,Definitely Yes,0,2
611,56,NA,NA,Yes,"NA",1,0
612,67,NA,NA,Yes,"NA",2,1
613,25,NA,NA,No,Unsure,0,0
614,30,NA,NA,Yes,"NA",1,0
615,55,NA,NA,Yes,Unsure,1,1
616,50,NA,NA,Yes,"NA",1,0
617,27,NA,NA,No,Definitely Yes,0,0
618,29,NA,NA,Yes,"NA",1,0
619,69,NA,NA,No,"No, Definitely not",0,1
620,57,23,23,Yes,Probably Not,1,2
621,57,NA,NA,No,"NA",0,0
